z,abs_crossline,iou_3,iou_4,iou_5,iou_6
98,907,0.43090544,0.14833033,0.33916144,0.39809785
99,908,0.43217824,0.14703935,0.33863619,0.39774807
100,909,0.43334705,0.14949946,0.33847972,0.39724352
101,910,0.43449903,0.14921265,0.33733027,0.39513673
102,911,0.43637627,0.15158641,0.33807945,0.39481571
103,912,0.43645998,0.15542356,0.33741838,0.39303083
104,913,0.43353114,0.13856973,0.32254454,0.39506287
105,914,0.43452381,0.13871926,0.32018363,0.39720559
106,915,0.43587937,0.14097032,0.32019808,0.40102277
107,916,0.43849765,0.14070236,0.31799276,0.40813424
108,917,0.44266829,0.14293704,0.31682041,0.40819620
109,918,0.44097725,0.14606408,0.31851106,0.40507069
110,919,0.44244268,0.15081106,0.31765777,0.40403499
111,920,0.44143682,0.15461288,0.31604156,0.40012219
112,921,0.42986447,0.15702693,0.30846447,0.40183304
113,922,0.42710925,0.15337972,0.30493110,0.40707072
114,923,0.42921729,0.15166088,0.30260679,0.40822193
115,924,0.43207949,0.15111268,0.30490130,0.41020498
116,925,0.43434343,0.15067348,0.30475621,0.40701803
117,926,0.43412394,0.15160836,0.30399645,0.40560768
118,927,0.43734574,0.15439568,0.30396705,0.40545435
119,928,0.43821243,0.16753167,0.30496249,0.40202597
120,929,0.43166738,0.15637368,0.28786537,0.39459266
121,930,0.43754513,0.15739616,0.28686526,0.40379383
122,931,0.43890358,0.16333069,0.28717811,0.40186614
123,932,0.44015351,0.16503449,0.28859652,0.40450245
124,933,0.43613618,0.17077840,0.28887223,0.40578008
125,934,0.43321524,0.17760010,0.28949398,0.40555624
126,935,0.42436509,0.18402149,0.28327251,0.39415275
127,936,0.42383085,0.18643645,0.28092754,0.39343860
128,937,0.40844248,0.17869841,0.26592055,0.38333739
129,938,0.40509225,0.18018130,0.26333490,0.38311669
130,939,0.40708484,0.18539641,0.26493080,0.38149577
131,940,0.40992052,0.18994676,0.26568574,0.38209286
132,941,0.40838235,0.19461097,0.26714025,0.38089417
133,942,0.40925980,0.19811589,0.26730493,0.37995660
134,943,0.41088409,0.20220892,0.26660160,0.37905443
135,944,0.41694717,0.20976700,0.26403176,0.37370414
136,945,0.40047798,0.20144645,0.25860519,0.36642841
137,946,0.39427334,0.21265717,0.25907015,0.35828725
138,947,0.39471391,0.22401439,0.25747492,0.35302694
139,948,0.38311720,0.23971631,0.25802700,0.35001453
140,949,0.37671465,0.24840065,0.25231984,0.33596685
141,950,0.25101431,0.23119449,0.07427168,0.24371478
